name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date

Kepler-1106 b,3558,3.36 Earths,14.863,2016

Kepler-1107 b,1399,2.36 Earths,14.315,2016

Kepler-1108 b,2504,2.73 Earths,15.132,2016

Kepler-110 b,1913,4.01 Earths,13.003,2014

Kepler-110 c,1913,5.52 Earths,13.003,2014

Kepler-1111 b,2745,4.66 Earths,14.88,2016

Kepler-1115 b,3207,3.53 Earths,11.983,2016

Kepler-1119 b,5732,4.35 Earths,15.296,2016

Kepler-111 b,2144,3.12 Earths,13.543,2014

Kepler-111 c,2144,0.132 Jupiters,13.543,2014

Kepler-1122 b,4014,4.82 Earths,15.405,2016

Kepler-1124 b,946,2.18 Earths,16.745,2016

Kepler-1125 b,6561,4.04 Earths,15.042,2016

Kepler-1129 b,3862,9.06 Earths,15.661,2016

Kepler-1135 b,4288,4.08 Earths,14.545,2016

Kepler-1139 b,1615,1.81 Earths,14.229,2016

Kepler-113 b,856,11.7 Earths,13.655,2014

Kepler-1141 b,1284,0.477 Earths,12.403,2016

Kepler-1142 b,4154,2.76 Earths,14.505,2016

Kepler-1143 b,1811,3.43 Earths,15.493,2016

Kepler-114 c,847,2.8 Earths,13.961,2013

Kepler-1150 b,1169,1.04 Earths,14.748,2016

Kepler-1151 b,2226,5.56 Earths,15.005,2016

Kepler-1154 c,4763,6.17 Earths,14.953,2016

Kepler-1166 b,2071,3.5 Earths,14.65,2016

Kepler-1167 b,2678,3.57 Earths,16.047,2016

Kepler-1169 b,1705,0.779 Earths,12.707,2016

Kepler-117 b,4748,29.875 Earths,14.282,2014

Kepler-117 c,4748,1.84 Jupiters,14.282,2014

Kepler-1182 b,5041,6.39 Earths,15.742,2016

Kepler-1184 b,3777,7.65 Earths,14.99,2016

Kepler-1186 b,4362,5.6 Earths,15.367,2016

Kepler-1194 b,2471,2.89 Earths,14.31,2016

Kepler-1198 b,2424,2.76 Earths,14.986,2016

Kepler-1200 b,1920,1.2 Earths,16.06,2016

Kepler-1201 b,3080,5.86 Earths,14.765,2016

Kepler-1209 b,1649,2.89 Earths,12.554,2016

Kepler-1210 b,3838,3.53 Earths,15.649,2016

Kepler-1211 b,5958,7.04 Earths,16.016,2016

Kepler-1212 b,4295,5.22 Earths,15.133,2016

Kepler-1214 b,2379,6.17 Earths,15.459,2016

Kepler-1216 b,4105,2.51 Earths,15.262,2016

Kepler-1217 b,4396,4.62 Earths,15.343,2016

Kepler-121 b,1665,6.08 Earths,14.904,2014

Kepler-121 c,1665,5.77 Earths,14.904,2014

Kepler-1221 b,2980,4.19 Earths,15.909,2016

Kepler-1227 b,2035,5.86 Earths,14.276,2016

Kepler-1230 b,4450,7.8 Earths,15.628,2016

Kepler-123 b,3333,0.174 Jupiters,14.129,2014

Kepler-1245 c,2629,2.67 Earths,15.582,2016

Kepler-1254 b,2032,3.02 Earths,15.541,2016

Kepler-1259 b,2628,2.63 Earths,15.556,2016

Kepler-1262 b,3441,3.97 Earths,15.155,2016

Kepler-126 b,774,2.92 Earths,10.505,2014

Kepler-1274 b,2005,2.6 Earths,11.717,2016

Kepler-1275 b,3764,2.79 Earths,14.595,2016

Kepler-1276 b,1757,1.81 Earths,12.992,2016

Kepler-127 b,1151,2.54 Earths,11.746,2014

Kepler-127 d,1151,7.46 Earths,11.746,2014

Kepler-1280 b,4850,4.16 Earths,14.196,2016

Kepler-1284 b,2878,1.92 Earths,15.912,2016

Kepler-1209 b,1649,2.89 Earths,12.554,2016

Kepler-1210 b,3838,3.53 Earths,15.649,2016

Kepler-1211 b,5958,7.04 Earths,16.016,2016

Kepler-1212 b,4295,5.22 Earths,15.133,2016

Kepler-1214 b,2379,6.17 Earths,15.459,2016

Kepler-1216 b,4105,2.51 Earths,15.262,2016

Kepler-1217 b,4396,4.62 Earths,15.343,2016

Kepler-121 b,1665,6.08 Earths,14.904,2014

Kepler-121 c,1665,5.77 Earths,14.904,2014

Kepler-1221 b,2980,4.19 Earths,15.909,2016

Kepler-1227 b,2035,5.86 Earths,14.276,2016

Kepler-1230 b,4450,7.8 Earths,15.628,2016

Kepler-123 b,3333,0.174 Jupiters,14.129,2014

Kepler-1245 c,2629,2.67 Earths,15.582,2016

Kepler-1254 b,2032,3.02 Earths,15.541,2016

Kepler-1259 b,2628,2.63 Earths,15.556,2016

Kepler-1262 b,3441,3.97 Earths,15.155,2016

Kepler-126 b,774,2.92 Earths,10.505,2014

Kepler-1274 b,2005,2.6 Earths,11.717,2016

Kepler-1275 b,3764,2.79 Earths,14.595,2016

Kepler-1276 b,1757,1.81 Earths,12.992,2016

Kepler-127 b,1151,2.54 Earths,11.746,2014

Kepler-127 d,1151,7.46 Earths,11.746,2014

Kepler-1280 b,4850,4.16 Earths,14.196,2016

Kepler-1284 b,2878,1.92 Earths,15.912,2016

Kepler-1209 b,1649,2.89 Earths,12.554,2016

Kepler-1210 b,3838,3.53 Earths,15.649,2016

Kepler-1211 b,5958,7.04 Earths,16.016,2016

Kepler-1212 b,4295,5.22 Earths,15.133,2016

Kepler-1214 b,2379,6.17 Earths,15.459,2016

Kepler-1216 b,4105,2.51 Earths,15.262,2016

Kepler-1217 b,4396,4.62 Earths,15.343,2016

Kepler-121 b,1665,6.08 Earths,14.904,2014

Kepler-121 c,1665,5.77 Earths,14.904,2014

Kepler-1221 b,2980,4.19 Earths,15.909,2016

Kepler-1227 b,2035,5.86 Earths,14.276,2016

Kepler-1230 b,4450,7.8 Earths,15.628,2016

Kepler-123 b,3333,0.174 Jupiters,14.129,2014

Kepler-1245 c,2629,2.67 Earths,15.582,2016

Kepler-1254 b,2032,3.02 Earths,15.541,2016

Kepler-1259 b,2628,2.63 Earths,15.556,2016

Kepler-1262 b,3441,3.97 Earths,15.155,2016

Kepler-126 b,774,2.92 Earths,10.505,2014

Kepler-1274 b,2005,2.6 Earths,11.717,2016

Kepler-1275 b,3764,2.79 Earths,14.595,2016

Kepler-1276 b,1757,1.81 Earths,12.992,2016

Kepler-127 b,1151,2.54 Earths,11.746,2014

Kepler-127 d,1151,7.46 Earths,11.746,2014

Kepler-1280 b,4850,4.16 Earths,14.196,2016

Kepler-1284 b,2878,1.92 Earths,15.912,2016

Kepler-1209 b,1649,2.89 Earths,12.554,2016

Kepler-1210 b,3838,3.53 Earths,15.649,2016

Kepler-1211 b,5958,7.04 Earths,16.016,2016

Kepler-1212 b,4295,5.22 Earths,15.133,2016

Kepler-1214 b,2379,6.17 Earths,15.459,2016

Kepler-1216 b,4105,2.51 Earths,15.262,2016

Kepler-1217 b,4396,4.62 Earths,15.343,2016

Kepler-121 b,1665,6.08 Earths,14.904,2014

Kepler-121 c,1665,5.77 Earths,14.904,2014

Kepler-1221 b,2980,4.19 Earths,15.909,2016

Kepler-1227 b,2035,5.86 Earths,14.276,2016

Kepler-1230 b,4450,7.8 Earths,15.628,2016

Kepler-123 b,3333,0.174 Jupiters,14.129,2014

Kepler-1245 c,2629,2.67 Earths,15.582,2016

Kepler-1254 b,2032,3.02 Earths,15.541,2016

Kepler-1259 b,2628,2.63 Earths,15.556,2016

Kepler-1262 b,3441,3.97 Earths,15.155,2016

Kepler-126 b,774,2.92 Earths,10.505,2014

Kepler-1274 b,2005,2.6 Earths,11.717,2016

Kepler-1275 b,3764,2.79 Earths,14.595,2016

Kepler-1276 b,1757,1.81 Earths,12.992,2016

Kepler-127 b,1151,2.54 Earths,11.746,2014

Kepler-127 d,1151,7.46 Earths,11.746,2014

Kepler-1280 b,4850,4.16 Earths,14.196,2016

Kepler-1284 b,2878,1.92 Earths,15.912,2016

Kepler-127 b,1151,2.54 Earths,11.746,2014

Kepler-127 d,1151,7.46 Earths,11.746,2014

Kepler-1280 b,4850,4.16 Earths,14.196,2016

Kepler-1284 b,2878,1.92 Earths,15.912,2016

Kepler-1289 b,3437,2.92 Earths,14.732,2016

Kepler-1293 b,3354,0.871 Earths,13.377,2016

Kepler-1294 b,6053,10.3 Earths,15.361,2016

Kepler-1296 b,5061,0.693 Earths,14.934,2016

Kepler-1297 b,4696,0.871 Earths,14.867,2016

Kepler-1298 b,1775,2.27 Earths,11.388,2016

Kepler-129 b,1334,20 Earths,11.809,2014

Kepler-129 d,1334,8.3 Jupiters,11.809,2021

Kepler-1302 b,2070,2.63 Earths,15.172,2016

Kepler-1307 b,3310,6.66 Earths,15.636,2016

Kepler-130 b,1033,1.04 Earths,11.572,2014

Kepler-1310 b,1857,2.67 Earths,14.346,2016

Kepler-1311 c,2826,1.98 Earths,13.528,2016

Kepler-1316 b,2612,12.3 Earths,14.119,2016

Kepler-131 c,746,8.25 Earths,11.493,2014

Kepler-1322 b,4405,3.22 Earths,15.876,2016

Kepler-1323 b,1518,2.92 Earths,12.444,2016

Kepler-1326 b,2278,16.3 Earths,12.842,2016

Kepler-132 b,1140,1.92 Earths,11.922,2014

Kepler-132 d,1140,3.02 Earths,11.922,2014

Kepler-1335 b,2028,2.7 Earths,15.248,2016

Kepler-1336 b,3675,4.58 Earths,14.264,2016

Kepler-1336 c,3675,3.57 Earths,14.264,2016

Kepler-1337 b,1963,6.39 Earths,16.21,2016

Kepler-1338 b,2457,0.721 Earths,13.699,2016

Kepler-133 c,2132,8.45 Earths,12.896,2014

Kepler-1342 b,2906,3.39 Earths,15.726,2016

Kepler-1343 b,5730,4.38 Earths,15.617,2016

Kepler-1348 b,3959,4.42 Earths,14.871,2016

Kepler-134 c,1092,2.13 Earths,12.318,2014

Kepler-1355 b,2973,2.73 Earths,15.595,2016

Kepler-1360 b,4946,11.5 Earths,14.007,2016

Kepler-1367 b,1310,0.721 Earths,16.012,2016

Kepler-136 b,1373,19.8 Earths,11.822,2014

Kepler-1370 b,3275,4.04 Earths,13.718,2016

Kepler-1371 c,1681,0.196 Earths,14.018,2016

Kepler-1373 b,5544,1.65 Earths,14.328,2016

Kepler-1381 b,3905,5.69 Earths,15.579,2016

Kepler-1383 b,3351,2.57 Earths,13.832,2016

Kepler-1384 b,2016,4.42 Earths,15.7578,2016

Kepler-1386 b,2727,2.07 Earths,14.597,2016

Kepler-1388 c,1480,5.73 Earths,16.43,2016

Kepler-1388 e,1480,6.62 Earths,16.43,2016

Kepler-138 d,218,0.64 Earths,13.04,2014

Kepler-1390 b,2360,1.76 Earths,14.558,2016

Kepler-1396 b,3479,4.94 Earths,14.691,2016

Kepler-1336 b,3675,4.58 Earths,14.264,2016

Kepler-1336 c,3675,3.57 Earths,14.264,2016

Kepler-1337 b,1963,6.39 Earths,16.21,2016

Kepler-1338 b,2457,0.721 Earths,13.699,2016

Kepler-133 c,2132,8.45 Earths,12.896,2014

Kepler-1342 b,2906,3.39 Earths,15.726,2016

Kepler-1343 b,5730,4.38 Earths,15.617,2016

Kepler-1348 b,3959,4.42 Earths,14.871,2016

Kepler-134 c,1092,2.13 Earths,12.318,2014

Kepler-1355 b,2973,2.73 Earths,15.595,2016

Kepler-1360 b,4946,11.5 Earths,14.007,2016

Kepler-1367 b,1310,0.721 Earths,16.012,2016

Kepler-136 b,1373,19.8 Earths,11.822,2014

Kepler-1370 b,3275,4.04 Earths,13.718,2016

Kepler-1371 c,1681,0.196 Earths,14.018,2016

Kepler-1373 b,5544,1.65 Earths,14.328,2016

Kepler-1381 b,3905,5.69 Earths,15.579,2016

Kepler-1383 b,3351,2.57 Earths,13.832,2016

Kepler-1384 b,2016,4.42 Earths,15.7578,2016

Kepler-1386 b,2727,2.07 Earths,14.597,2016

Kepler-1388 c,1480,5.73 Earths,16.43,2016

Kepler-1388 e,1480,6.62 Earths,16.43,2016

Kepler-138 d,218,0.64 Earths,13.04,2014

Kepler-1390 b,2360,1.76 Earths,14.558,2016

Kepler-1396 b,3479,4.94 Earths,14.691,2016

Kepler-1443 b,1936,0.871 Earths,12.313,2016

Kepler-1447 b,2904,8.75 Earths,14.747,2016

Kepler-1448 b,2508,3.22 Earths,14.592,2016

Kepler-1451 b,3454,11.2 Earths,15.313,2016

Kepler-1453 b,3901,7.61 Earths,15.695,2016

Kepler-1456 b,1208,1.55 Earths,15.777,2016

Kepler-1457 b,2903,4.62 Earths,14.066,2016

Kepler-145 c,1849,0.25 Jupiters,11.977,2013

Kepler-1462 b,3320,14 Earths,15.888,2016

Kepler-1465 b,1173,3.78 Earths,14.724,2016

Kepler-1466 b,2061,3.02 Earths,14.026,2016

Kepler-1468 b,6195,3.64 Earths,15.111,2016

Kepler-1469 b,3782,8.25 Earths,16.2388,2016

Kepler-146 c,2338,9.96 Earths,13.921,2014

Kepler-1470 b,1927,1.24 Earths,15.252,2016

Kepler-1472 b,4825,4.27 Earths,14.666,2016

Kepler-1473 b,2128,1.81 Earths,13.486,2016

Kepler-1474 b,3852,5.31 Earths,15.35,2016

Kepler-1475 b,5116,8.85 Earths,15.36,2016

Kepler-1477 b,2221,1.76 Earths,14.72,2016

Kepler-1478 b,6020,3.64 Earths,15.409,2016

Kepler-1479 b,2377,4.01 Earths,13.914,2016

Kepler-1480 b,1634,3.43 Earths,14.703,2016

Kepler-1481 b,1498,2.04 Earths,14.929,2016

Kepler-1482 b,1851,1.01 Earths,13.967,2016

Kepler-1443 b,1936,0.871 Earths,12.313,2016

Kepler-1447 b,2904,8.75 Earths,14.747,2016

Kepler-1448 b,2508,3.22 Earths,14.592,2016

Kepler-1451 b,3454,11.2 Earths,15.313,2016

Kepler-1453 b,3901,7.61 Earths,15.695,2016

Kepler-1456 b,1208,1.55 Earths,15.777,2016

Kepler-1457 b,2903,4.62 Earths,14.066,2016

Kepler-145 c,1849,0.25 Jupiters,11.977,2013

Kepler-1462 b,3320,14 Earths,15.888,2016

Kepler-1465 b,1173,3.78 Earths,14.724,2016

Kepler-1466 b,2061,3.02 Earths,14.026,2016

Kepler-1468 b,6195,3.64 Earths,15.111,2016

Kepler-1469 b,3782,8.25 Earths,16.2388,2016

Kepler-146 c,2338,9.96 Earths,13.921,2014

Kepler-1470 b,1927,1.24 Earths,15.252,2016

Kepler-1472 b,4825,4.27 Earths,14.666,2016

Kepler-1473 b,2128,1.81 Earths,13.486,2016

Kepler-1474 b,3852,5.31 Earths,15.35,2016

Kepler-1475 b,5116,8.85 Earths,15.36,2016

Kepler-1477 b,2221,1.76 Earths,14.72,2016

Kepler-1478 b,6020,3.64 Earths,15.409,2016

Kepler-1479 b,2377,4.01 Earths,13.914,2016

Kepler-1480 b,1634,3.43 Earths,14.703,2016

Kepler-1481 b,1498,2.04 Earths,14.929,2016

Kepler-1482 b,1851,1.01 Earths,13.967,2016

Kepler-1443 b,1936,0.871 Earths,12.313,2016

Kepler-1447 b,2904,8.75 Earths,14.747,2016

Kepler-1448 b,2508,3.22 Earths,14.592,2016

Kepler-1451 b,3454,11.2 Earths,15.313,2016

Kepler-1453 b,3901,7.61 Earths,15.695,2016

Kepler-1456 b,1208,1.55 Earths,15.777,2016

Kepler-1457 b,2903,4.62 Earths,14.066,2016

Kepler-145 c,1849,0.25 Jupiters,11.977,2013

Kepler-1462 b,3320,14 Earths,15.888,2016

Kepler-1465 b,1173,3.78 Earths,14.724,2016

Kepler-1466 b,2061,3.02 Earths,14.026,2016

Kepler-1468 b,6195,3.64 Earths,15.111,2016

Kepler-1469 b,3782,8.25 Earths,16.2388,2016

Kepler-146 c,2338,9.96 Earths,13.921,2014

Kepler-1470 b,1927,1.24 Earths,15.252,2016

Kepler-1472 b,4825,4.27 Earths,14.666,2016

Kepler-1473 b,2128,1.81 Earths,13.486,2016

Kepler-1474 b,3852,5.31 Earths,15.35,2016

Kepler-1475 b,5116,8.85 Earths,15.36,2016

Kepler-1477 b,2221,1.76 Earths,14.72,2016

Kepler-1478 b,6020,3.64 Earths,15.409,2016

Kepler-1479 b,2377,4.01 Earths,13.914,2016

Kepler-1480 b,1634,3.43 Earths,14.703,2016

Kepler-1481 b,1498,2.04 Earths,14.929,2016

Kepler-1482 b,1851,1.01 Earths,13.967,2016

Kepler-1443 b,1936,0.871 Earths,12.313,2016

Kepler-1447 b,2904,8.75 Earths,14.747,2016

Kepler-1448 b,2508,3.22 Earths,14.592,2016

Kepler-1451 b,3454,11.2 Earths,15.313,2016

Kepler-1453 b,3901,7.61 Earths,15.695,2016

Kepler-1456 b,1208,1.55 Earths,15.777,2016

Kepler-1457 b,2903,4.62 Earths,14.066,2016

Kepler-145 c,1849,0.25 Jupiters,11.977,2013

Kepler-1462 b,3320,14 Earths,15.888,2016

Kepler-1465 b,1173,3.78 Earths,14.724,2016

Kepler-1466 b,2061,3.02 Earths,14.026,2016

Kepler-1468 b,6195,3.64 Earths,15.111,2016

Kepler-1469 b,3782,8.25 Earths,16.2388,2016

Kepler-146 c,2338,9.96 Earths,13.921,2014

Kepler-1470 b,1927,1.24 Earths,15.252,2016

Kepler-1472 b,4825,4.27 Earths,14.666,2016

Kepler-1473 b,2128,1.81 Earths,13.486,2016

Kepler-1474 b,3852,5.31 Earths,15.35,2016

Kepler-1475 b,5116,8.85 Earths,15.36,2016

Kepler-1477 b,2221,1.76 Earths,14.72,2016

Kepler-1478 b,6020,3.64 Earths,15.409,2016

Kepler-1479 b,2377,4.01 Earths,13.914,2016

Kepler-1480 b,1634,3.43 Earths,14.703,2016

Kepler-1481 b,1498,2.04 Earths,14.929,2016

Kepler-1482 b,1851,1.01 Earths,13.967,2016

Kepler-1443 b,1936,0.871 Earths,12.313,2016

Kepler-1447 b,2904,8.75 Earths,14.747,2016

Kepler-1448 b,2508,3.22 Earths,14.592,2016

Kepler-1451 b,3454,11.2 Earths,15.313,2016

Kepler-1453 b,3901,7.61 Earths,15.695,2016

Kepler-1456 b,1208,1.55 Earths,15.777,2016

Kepler-1457 b,2903,4.62 Earths,14.066,2016

Kepler-145 c,1849,0.25 Jupiters,11.977,2013

Kepler-1462 b,3320,14 Earths,15.888,2016

Kepler-1465 b,1173,3.78 Earths,14.724,2016

Kepler-1466 b,2061,3.02 Earths,14.026,2016

Kepler-1468 b,6195,3.64 Earths,15.111,2016

Kepler-1469 b,3782,8.25 Earths,16.2388,2016

Kepler-146 c,2338,9.96 Earths,13.921,2014

Kepler-1470 b,1927,1.24 Earths,15.252,2016

Kepler-1472 b,4825,4.27 Earths,14.666,2016

Kepler-1473 b,2128,1.81 Earths,13.486,2016

Kepler-1474 b,3852,5.31 Earths,15.35,2016

Kepler-1475 b,5116,8.85 Earths,15.36,2016

Kepler-1477 b,2221,1.76 Earths,14.72,2016

Kepler-1478 b,6020,3.64 Earths,15.409,2016

Kepler-1479 b,2377,4.01 Earths,13.914,2016

Kepler-1480 b,1634,3.43 Earths,14.703,2016

Kepler-1481 b,1498,2.04 Earths,14.929,2016

Kepler-1482 b,1851,1.01 Earths,13.967,2016

Kepler-143 b,2640,6.39 Earths,13.882,2014

Kepler-1440 b,3638,2.13 Earths,14.24,2016

Kepler-1442 b,1986,14.7 Earths,12.114,2016

Kepler-1443 b,1936,0.871 Earths,12.313,2016

Kepler-1447 b,2904,8.75 Earths,14.747,2016

Kepler-1448 b,2508,3.22 Earths,14.592,2016

Kepler-1451 b,3454,11.2 Earths,15.313,2016

Kepler-1453 b,3901,7.61 Earths,15.695,2016

Kepler-1456 b,1208,1.55 Earths,15.777,2016

Kepler-1457 b,2903,4.62 Earths,14.066,2016

Kepler-145 c,1849,0.25 Jupiters,11.977,2013

Kepler-1462 b,3320,14 Earths,15.888,2016

Kepler-1465 b,1173,3.78 Earths,14.724,2016

Kepler-1466 b,2061,3.02 Earths,14.026,2016

Kepler-1468 b,6195,3.64 Earths,15.111,2016

Kepler-1469 b,3782,8.25 Earths,16.2388,2016

Kepler-146 c,2338,9.96 Earths,13.921,2014

Kepler-1470 b,1927,1.24 Earths,15.252,2016

Kepler-1472 b,4825,4.27 Earths,14.666,2016

Kepler-1473 b,2128,1.81 Earths,13.486,2016

Kepler-1474 b,3852,5.31 Earths,15.35,2016

Kepler-1475 b,5116,8.85 Earths,15.36,2016

Kepler-1477 b,2221,1.76 Earths,14.72,2016

Kepler-1478 b,6020,3.64 Earths,15.409,2016

Kepler-1479 b,2377,4.01 Earths,13.914,2016

Kepler-1469 b,3782,8.25 Earths,16.2388,2016

Kepler-146 c,2338,9.96 Earths,13.921,2014

Kepler-1470 b,1927,1.24 Earths,15.252,2016

Kepler-1472 b,4825,4.27 Earths,14.666,2016

Kepler-1473 b,2128,1.81 Earths,13.486,2016

Kepler-1474 b,3852,5.31 Earths,15.35,2016

Kepler-1475 b,5116,8.85 Earths,15.36,2016

Kepler-1477 b,2221,1.76 Earths,14.72,2016

Kepler-1478 b,6020,3.64 Earths,15.409,2016

Kepler-1479 b,2377,4.01 Earths,13.914,2016

Kepler-1480 b,1634,3.43 Earths,14.703,2016

Kepler-1481 b,1498,2.04 Earths,14.929,2016

Kepler-1482 b,1851,1.01 Earths,13.967,2016

Kepler-1483 b,4155,2.92 Earths,14.52,2016

Kepler-1484 b,9394,5.1 Earths,15.351,2016

Kepler-1485 b,2008,2.76 Earths,13.411,2016

Kepler-1488 b,2955,4.12 Earths,13.146,2016

Kepler-1489 b,4185,3.78 Earths,14.983,2016

Kepler-148 c,2581,12.6 Earths,15.398,2014

Kepler-1490 b,2815,9.48 Earths,15.616,2016

Kepler-1491 b,6738,2.89 Earths,15.796,2016

Kepler-1492 b,1082,2.83 Earths,14.689,2016

Kepler-1494 b,4193,9.64 Earths,15.372,2016

Kepler-1496 b,4266,5.56 Earths,14.832,2016

Kepler-1497 b,3660,3.39 Earths,15.707,2016

Kepler-1472 b,4825,4.27 Earths,14.666,2016

Kepler-1473 b,2128,1.81 Earths,13.486,2016

Kepler-1474 b,3852,5.31 Earths,15.35,2016

Kepler-1475 b,5116,8.85 Earths,15.36,2016

Kepler-1477 b,2221,1.76 Earths,14.72,2016

Kepler-1478 b,6020,3.64 Earths,15.409,2016

Kepler-1479 b,2377,4.01 Earths,13.914,2016

Kepler-1480 b,1634,3.43 Earths,14.703,2016

Kepler-1481 b,1498,2.04 Earths,14.929,2016

Kepler-1482 b,1851,1.01 Earths,13.967,2016

Kepler-1483 b,4155,2.92 Earths,14.52,2016

Kepler-1484 b,9394,5.1 Earths,15.351,2016

Kepler-1485 b,2008,2.76 Earths,13.411,2016

Kepler-1488 b,2955,4.12 Earths,13.146,2016

Kepler-1489 b,4185,3.78 Earths,14.983,2016

Kepler-148 c,2581,12.6 Earths,15.398,2014

Kepler-1490 b,2815,9.48 Earths,15.616,2016

Kepler-1491 b,6738,2.89 Earths,15.796,2016

Kepler-1492 b,1082,2.83 Earths,14.689,2016

Kepler-1494 b,4193,9.64 Earths,15.372,2016

Kepler-1496 b,4266,5.56 Earths,14.832,2016

Kepler-1497 b,3660,3.39 Earths,15.707,2016

Kepler-1498 b,2414,2.33 Earths,15.352,2016

Kepler-1499 b,1011,1.81 Earths,13.676,2016

Kepler-149 b,1863,16.5 Earths,14.152,2014

Kepler-1488 b,2955,4.12 Earths,13.146,2016

Kepler-1489 b,4185,3.78 Earths,14.983,2016

Kepler-148 c,2581,12.6 Earths,15.398,2014

Kepler-1490 b,2815,9.48 Earths,15.616,2016

Kepler-1491 b,6738,2.89 Earths,15.796,2016

Kepler-1492 b,1082,2.83 Earths,14.689,2016

Kepler-1494 b,4193,9.64 Earths,15.372,2016

Kepler-1496 b,4266,5.56 Earths,14.832,2016

Kepler-1497 b,3660,3.39 Earths,15.707,2016

Kepler-1498 b,2414,2.33 Earths,15.352,2016

Kepler-1499 b,1011,1.81 Earths,13.676,2016

Kepler-149 b,1863,16.5 Earths,14.152,2014

Kepler-149 c,1863,3.22 Earths,14.152,2014

Kepler-14 b,2603,8.4 Jupiters,12.003,2011

Kepler-1500 b,3973,1.87 Earths,14.728,2016

Kepler-1502 b,4939,10.2 Earths,14.18,2016

Kepler-1504 b,7946,5.18 Earths,15.883,2016

Kepler-1506 b,7718,2.3 Earths,15.836,2016

Kepler-1507 b,1045,0.52 Earths,13.267,2016

Kepler-1508 b,4111,2.33 Earths,14.561,2016

Kepler-1509 b,6534,4.08 Earths,15.455,2016

Kepler-150 b,2907,2.1 Earths,15.161,2014

Kepler-150 c,2907,13.2 Earths,15.161,2014

Kepler-150 d,2907,8.2 Earths,15.161,2014

Kepler-150 e,2907,9.91 Earths,15.161,2014

Kepler-1488 b,2955,4.12 Earths,13.146,2016

Kepler-1489 b,4185,3.78 Earths,14.983,2016

Kepler-148 c,2581,12.6 Earths,15.398,2014

Kepler-1490 b,2815,9.48 Earths,15.616,2016

Kepler-1491 b,6738,2.89 Earths,15.796,2016

Kepler-1492 b,1082,2.83 Earths,14.689,2016

Kepler-1494 b,4193,9.64 Earths,15.372,2016

Kepler-1496 b,4266,5.56 Earths,14.832,2016

Kepler-1497 b,3660,3.39 Earths,15.707,2016

Kepler-1498 b,2414,2.33 Earths,15.352,2016

Kepler-1499 b,1011,1.81 Earths,13.676,2016

Kepler-149 b,1863,16.5 Earths,14.152,2014

Kepler-149 c,1863,3.22 Earths,14.152,2014

Kepler-14 b,2603,8.4 Jupiters,12.003,2011

Kepler-1500 b,3973,1.87 Earths,14.728,2016

Kepler-1502 b,4939,10.2 Earths,14.18,2016

Kepler-1504 b,7946,5.18 Earths,15.883,2016

Kepler-1506 b,7718,2.3 Earths,15.836,2016

Kepler-1507 b,1045,0.52 Earths,13.267,2016

Kepler-1508 b,4111,2.33 Earths,14.561,2016

Kepler-1509 b,6534,4.08 Earths,15.455,2016

Kepler-150 b,2907,2.1 Earths,15.161,2014

Kepler-150 c,2907,13.2 Earths,15.161,2014

Kepler-150 d,2907,8.2 Earths,15.161,2014

Kepler-150 e,2907,9.91 Earths,15.161,2014

Kepler-1488 b,2955,4.12 Earths,13.146,2016

Kepler-1489 b,4185,3.78 Earths,14.983,2016

Kepler-148 c,2581,12.6 Earths,15.398,2014

Kepler-1490 b,2815,9.48 Earths,15.616,2016

Kepler-1491 b,6738,2.89 Earths,15.796,2016

Kepler-1492 b,1082,2.83 Earths,14.689,2016

Kepler-1494 b,4193,9.64 Earths,15.372,2016

Kepler-1496 b,4266,5.56 Earths,14.832,2016

Kepler-1497 b,3660,3.39 Earths,15.707,2016

Kepler-1498 b,2414,2.33 Earths,15.352,2016

Kepler-1499 b,1011,1.81 Earths,13.676,2016

Kepler-149 b,1863,16.5 Earths,14.152,2014

Kepler-149 c,1863,3.22 Earths,14.152,2014

Kepler-14 b,2603,8.4 Jupiters,12.003,2011

Kepler-1500 b,3973,1.87 Earths,14.728,2016

Kepler-1502 b,4939,10.2 Earths,14.18,2016

Kepler-1504 b,7946,5.18 Earths,15.883,2016

Kepler-1506 b,7718,2.3 Earths,15.836,2016

Kepler-1507 b,1045,0.52 Earths,13.267,2016

Kepler-1508 b,4111,2.33 Earths,14.561,2016

Kepler-1509 b,6534,4.08 Earths,15.455,2016

Kepler-150 b,2907,2.1 Earths,15.161,2014

Kepler-150 c,2907,13.2 Earths,15.161,2014

